Nest type,Nest,Date,Group size,No. arrivals,Total Brood,Brood_per_active_day,Foraging.Time.Total,Prop_time_off_nest,Average_Forage,Total_Available,Av_w_size,Q_size,Relative_Diff
QL,178,18/06/2019,2,4,2,0.2,690.2333333,0.636746617,345.1166664,542,1.918,1.891,1.01427816
QL,186,13/06/2018,2,14,14,1.75,396.7333333,0.368027211,198.3666667,539,1.90825,1.814,1.051957001
QL,186,20/06/2018,4,25,14,1.75,1297.766667,0.619163486,324.9163587,524.7666667,1.90825,1.814,1.051957001
QL,195,15/06/2019,4,25,6,0.857142857,1024.533333,0.464978367,256.1333335,550.85,1.913,2.353,0.813004675
QL,195,19/06/2019,3,24,6,0.857142857,1377.6,0.831457283,459.1999998,552.2833333,1.913,2.353,0.813004675
QL,197,15/06/2019,3,24,40,2.222222222,1082.016667,0.627619876,345.9649963,551.2333333,1.91625,1.988,0.963908451
QL,197,22/06/2019,3,13,40,2.222222222,588.45,0.542850554,294.4421405,542.4,1.91625,1.988,0.963908451
QL,215,13/06/2018,3,32,17,1.214285714,1111.9,0.681311275,370.8945029,544.3833333,1.8475,1.989,0.928858723
QL,215,22/06/2019,2,14,17,1.214285714,819.4166667,0.743572293,409.7207263,551.0166667,1.8475,1.989,0.928858723
QL,219,13/06/2018,1,1,20,1.666666667,37.6,0.06937696,37.74337881,544.0333333,1.9985,1.998,1.00025025
QL,219,22/06/2019,3,27,20,1.666666667,1048.65,0.650931099,349.636791,537.1333333,1.9985,1.998,1.00025025
QL,223,18/06/2019,3,16,10,0.909090909,581.8,0.353259055,193.9333335,548.9833333,1.764333333,2.301,0.766768072
QL,223,23/06/2019,1,4,10,0.909090909,193.5166667,0.353261531,193.5166667,547.8,1.764333333,2.301,0.766768072
QL,238,15/06/2019,2,16,22,2,879.1166667,0.534742498,293.279523,548.45,1.959,1.938,1.010835913
QL,238,22/06/2019,4,15,22,2,1495.433333,0.692330247,373.9852606,540.1833333,1.959,1.938,1.010835913
QL,239,09/06/2018,2,8,6,0.545454545,541.15,0.49646789,270.930802,545.7166667,1.838,1.622,1.133168927
QL,239,20/06/2018,2,3,6,0.545454545,753.9,0.698055556,376.9500002,540,1.838,1.622,1.133168927
QL,252,10/06/2019,2,8,11,1,674.5333333,0.629679186,337.2666667,535.6166667,1.942,1.957,0.992335207
QL,252,20/06/2019,2,9,11,1,515.7666667,0.477119951,257.8833335,540.5,1.942,1.957,0.992335207
QL,308,13/06/2018,4,26,12,0.923076923,1302.6,0.593169399,325.6598862,549.0166667,1.736,2.001,0.867566217
QL,313,18/06/2018,2,8,4,0.571428571,412.55,0.375899772,206.2749999,548.75,1.736,1.877,0.924880128
QL,313,11/06/2019,2,10,4,0.571428571,287.9833333,0.529494683,287.9833332,543.8833333,1.9025,1.877,1.013585509
